nid,iso3,toilet,sewage,sani,manny,ani,mat
762,ARG,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
762,ARG,No flush toilet,Not connected to sewage disposal system,latrine_cw,,,mb
762,ARG,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
762,ARG,NIU (not in universe),Not connected to sewage disposal system,,,,mb
762,ARG,Flush toilet,Not connected to sewage disposal system,flush_cw,,,mb
762,ARG,Unknown,Unknown,,,,mb
762,ARG,NIU (not in universe),NIU (not in universe),,,,mb
767,ARG,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
767,ARG,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
767,ARG,"Non-flush, latrine",Not connected to sewage disposal system,latrine_cw,,,mb
767,ARG,Flush toilet,Not connected to sewage disposal system,flush_cw,,,mb
767,ARG,No toilet,Not connected to sewage disposal system,open,,,mb
767,ARG,NIU (not in universe),NIU (not in universe),,,,mb
105321,ARG,Flush toilet,,flush_cw,,,mb
105321,ARG,No toilet,,open,,,mb
105321,ARG,"Non-flush, other and unspecified",,,,,mb
854,AUT,Flush toilet,,flush_cw,,,mb
854,AUT,No flush toilet,,latrine_cw,,,mb
854,AUT,NIU (not in universe),,,,,mb
859,AUT,Flush toilet,,flush_cw,,,mb
859,AUT,No flush toilet,,latrine_cw,,,mb
859,AUT,NIU (not in universe),,,,,mb
367419,BEN,no toilet,not connected to sewage disposal system,open,,,mb
367419,BEN,"non-flush, latrine",not connected to sewage disposal system,unimp,,,mb
367419,BEN,flush toilet,not connected to sewage disposal system,flush_unimp,,,mb
367419,BEN,"non-flush, latrine",connected to sewage system or septic tank,septic,,,mb
367419,BEN,flush toilet,connected to sewage system or septic tank,flush_imp_septic,,,mb
367419,BEN,unknown,unknown,,,,mb
367419,BEN,"non-flush, other and unspecified",not connected to sewage disposal system,,,,mb
367419,BEN,no toilet,connected to sewage system or septic tank,septic,,,mb
367419,BEN,"non-flush, other and unspecified",connected to sewage system or septic tank,septic,,,mb
105389,BFA,No toilet,Not connected to sewage disposal system,open,,,mb
105389,BFA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
105389,BFA,No toilet,Septic tank (private sewage disposal),septic,,,mb
105389,BFA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
105389,BFA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Unknown,Unknown, ,,,mb
105389,BFA,"Non-flush, other and unspecified",Unknown,,,,mb
105389,BFA,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
105389,BFA,No toilet,Unknown,open,,,mb
105389,BFA,Unknown,Not connected to sewage disposal system,,,,mb
105389,BFA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
105389,BFA,"Non-flush, latrine",Unknown,latrine_cw,,,mb
105389,BFA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Unknown,Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Flush toilet,Unknown,flush_imp,,,mb
105403,BFA,No toilet,Not connected to sewage disposal system,open,mg,ad,
105403,BFA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
105403,BFA,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
105403,BFA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
105403,BFA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
105403,BFA,No toilet,Unknown,open,mg,ad,
105403,BFA,"Non-flush, latrine",Unknown,latrine_cw,mg,ad,
105403,BFA,Flush toilet,Unknown,flush_imp,mg,ad,
105403,BFA,No toilet,,open,mg,ad,
105403,BFA,"Non-flush, latrine",,latrine_cw,mg,ad,
105403,BFA,Flush toilet,,flush_cw,mg,ad,
105403,BFA,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
105403,BFA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
105403,BFA,"Non-flush, other and unspecified",Unknown,,mg,ad,
105403,BFA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
105403,BFA,"Non-flush, other and unspecified",,,mg,ad,
105403,BFA,Unknown,Not connected to sewage disposal system,,mg,ad,
105403,BFA,Unknown,Unknown,,mg,ad,
105403,BFA,Unknown,Septic tank (private sewage disposal),septic,mg,ad,
105403,BFA,Unknown,,,mg,ad,
104913,BGD,No toilet,,open,,,mb
104913,BGD,"Have toilet, type not specified",,latrine_cw,,,mb
104913,BGD,Unknown,,,,,mb
1362,BOL,"Have toilet, type not specified",Not connected to sewage disposal system,unimp,,,mb
1362,BOL,No toilet,Not connected to sewage disposal system,open,,,mb
1362,BOL,"Have toilet, type not specified",Sewage system (public sewage disposal),sewer,,,mb
1362,BOL,NIU (not in universe),NIU (not in universe),,,,mb
1362,BOL,"Have toilet, type not specified",Septic tank (private sewage disposal),septic,,,mb
30309,BRA,,Not connected to sewage disposal system,,,,mb
30309,BRA,,NIU (not in universe),,,,mb
30309,BRA,,Septic tank (private sewage disposal),septic,,,mb
30309,BRA,,Sewage system (public sewage disposal),,,,mb
30309,BRA,,Unknown,,,,mb
38230,BRA,,Not connected to sewage disposal system,,,,mb
38230,BRA,,Septic tank (private sewage disposal),septic,,,mb
38230,BRA,,Sewage system (public sewage disposal),,,,mb
38230,BRA,,NIU (not in universe),,,,mb
105322,BRA,,,,,,mb
294198,BWA,"Non-flush, latrine",,latrine_cw,,,mb
294198,BWA,Flush toilet,,flush_cw,,,mb
294198,BWA,No toilet,,open,,,mb
294198,BWA,NIU (not in universe),,,,,mb
294198,BWA,Unknown,,,,,mb
294198,BWA,"Non-flush, other and unspecified",,,,,mb
294205,BWA,"Have toilet, type not specified",,latrine_cw,mg,ad,
294205,BWA,NIU (not in universe),,,mg,ad,
294205,BWA,"Non-flush, latrine",,latrine_cw,mg,ad,
294205,BWA,Flush toilet,,flush_cw,mg,ad,
294205,BWA,No toilet,,open,mg,ad,
294205,BWA,Unknown,,,mg,ad,
294235,BWA,NIU (not in universe),,,mg,ad,
294235,BWA,"Non-flush, latrine",,latrine_cw,mg,ad,
294235,BWA,Flush toilet,,flush_cw,mg,ad,
294235,BWA,No toilet,,open,mg,ad,
294235,BWA,"Non-flush, other and unspecified",,,mg,ad,
294235,BWA,,,,mg,ad,
105800,CMR,"Have toilet, type not specified",NIU (not in universe),latrine_cw,mg,ad,
105800,CMR,"Have toilet, type not specified",Not connected to sewage disposal system,unimp,mg,ad,
105800,CMR,"Have toilet, type not specified",,latrine_cw,mg,ad,
105800,CMR,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
105800,CMR,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
105800,CMR,No toilet,Not connected to sewage disposal system,open,mg,ad,
105800,CMR,NIU (not in universe),NIU (not in universe),,mg,ad,
105800,CMR,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
105800,CMR,"Non-flush, latrine",NIU (not in universe),latrine_cw,mg,ad,
105800,CMR,Flush toilet,NIU (not in universe),flush_cw,mg,ad,
105800,CMR,No toilet,NIU (not in universe),open,mg,ad,
105800,CMR,"Non-flush, latrine",,latrine_cw,mg,ad,
105800,CMR,Flush toilet,,flush_cw,mg,ad,
105800,CMR,No toilet,,open,mg,ad,
105800,CMR,NIU (not in universe),Not connected to sewage disposal system,,mg,ad,
105800,CMR,NIU (not in universe),,,mg,ad,
105800,CMR,"Have toilet, type not specified",Septic tank (private sewage disposal),septic,mg,ad,
105800,CMR,NIU (not in universe),Septic tank (private sewage disposal),septic,mg,ad,
105800,CMR,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
105800,CMR,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
3019,COL,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
3019,COL,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
3019,COL,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
3019,COL,No toilet,Not connected to sewage disposal system,open,,,mb
3024,COL,flush toilet,,flush_cw,,,mb
3024,COL,"non-flush, other and unspecified",,,,,mb
3024,COL,no toilet,,open,,,mb
3024,COL,"non-flush, latrine",,latrine_cw,,,mb
3029,COL,Flush toilet,,flush_cw,,,mb
3029,COL,No toilet,,open,,,mb
3029,COL,"Non-flush, latrine",,latrine_cw,,,mb
3029,COL,Unknown,,,,,mb
3243,CRI,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
3243,CRI,No toilet,Not connected to sewage disposal system,open,,,mb
3243,CRI,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
3243,CRI,NIU (not in universe),NIU (not in universe),,,,mb
3243,CRI,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
3243,CRI,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
227111,CRI,,,,,,mb
43729,DEU,No flush toilet,,latrine_cw,,,mb
43729,DEU,Flush toilet,,flush_cw,,,mb
43738,DEU,No toilet,Septic tank (private sewage disposal),septic,,,mb
43738,DEU,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
43738,DEU,Flush toilet,Not connected to sewage disposal system,flush_cw,,,mb
43738,DEU,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
43738,DEU,No toilet,Sewage system (public sewage disposal),sewer,,,mb
43738,DEU,No toilet,Not connected to sewage disposal system,open,,,mb
43738,DEU,"Non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
